max_case_type,min_cases_type,no_of_cases,avg_solving_day
robbery,Murder,1855,10
dowry demands,theft,1857,3
robbery,cybercrime,1859,14
unfair dismissal,sedition,1861,8
theft,Property dispute,1863,6
cybercrime,marriage affairs,1865,13
sedition,Divorce,1867,3
Property dispute,Fraud,1869,9
Fraud,riots,1871,7
riots,claims of negligence,1873,14
marriage affairs,dowry demands,1875,5
Divorce,robbery,1877,7
claims of negligence,unfair dismissal,1879,3
appeal against HR,discrimination,1881,15
Workplace harassment,appeal against HR,1883,15
Murder,Workplace harassment,1885,6
robbery,Murder,1887,3
dowry demands,theft,1889,13
robbery,cybercrime,1891,8
unfair dismissal,sedition,1893,12
theft,Property dispute,1895,15
cybercrime,marriage affairs,1897,9
sedition,Divorce,1899,12
Property dispute,Fraud,1901,9
Fraud,riots,1903,14
riots,claims of negligence,1905,4
marriage affairs,dowry demands,1907,10
Divorce,robbery,1909,8
claims of negligence,unfair dismissal,1911,12
appeal against HR,discrimination,1913,15
Workplace harassment,appeal against HR,1915,11
Murder,Workplace harassment,1917,8
robbery,Murder,1919,7
dowry demands,theft,1921,6
robbery,cybercrime,1923,4
unfair dismissal,sedition,1925,3
theft,Property dispute,1927,11
cybercrime,marriage affairs,1929,12
sedition,Divorce,1931,10
Property dispute,Fraud,1933,13
Fraud,riots,1935,9
riots,claims of negligence,1937,7
marriage affairs,dowry demands,1939,5
Divorce,robbery,1941,13
claims of negligence,unfair dismissal,1943,13
appeal against HR,discrimination,1945,13
Workplace harassment,appeal against HR,1947,15
Murder,Workplace harassment,1949,15
robbery,Murder,1951,14
dowry demands,theft,1953,7
robbery,cybercrime,1955,7
unfair dismissal,sedition,1957,14
theft,Property dispute,1959,15
cybercrime,marriage affairs,1961,8
sedition,Divorce,1963,9
Property dispute,Fraud,1965,14
Fraud,riots,1967,15
riots,claims of negligence,1969,15
marriage affairs,dowry demands,1971,7
Divorce,robbery,1973,9
claims of negligence,unfair dismissal,1975,5
appeal against HR,discrimination,1977,11
Workplace harassment,appeal against HR,1979,9
Murder,Workplace harassment,1981,10
robbery,Murder,1983,9
dowry demands,theft,1985,6
robbery,cybercrime,1987,11
unfair dismissal,sedition,1989,3
theft,Property dispute,1991,13
cybercrime,marriage affairs,1993,9
sedition,Divorce,1995,6
Property dispute,Fraud,1997,6
Fraud,riots,1999,6
riots,claims of negligence,2001,12
marriage affairs,dowry demands,2003,3
Divorce,robbery,2005,7
claims of negligence,unfair dismissal,2007,8
appeal against HR,discrimination,2009,11
Workplace harassment,appeal against HR,2011,8
Murder,Workplace harassment,2013,8
robbery,Murder,2015,13
dowry demands,theft,2017,3
robbery,cybercrime,2019,15
unfair dismissal,sedition,2021,13
theft,Property dispute,2023,11
cybercrime,marriage affairs,2025,15
sedition,Divorce,2027,5
Property dispute,Fraud,2029,8
Fraud,riots,2031,15
riots,claims of negligence,2033,8
marriage affairs,dowry demands,2035,8
Divorce,robbery,2037,7
claims of negligence,unfair dismissal,2039,14
appeal against HR,discrimination,2041,8
Workplace harassment,appeal against HR,2043,12
Murder,Workplace harassment,2045,11
robbery,Murder,2047,14
dowry demands,theft,2049,10
robbery,cybercrime,2051,10
unfair dismissal,sedition,2053,13
theft,Property dispute,2055,9
cybercrime,marriage affairs,2057,6
sedition,Divorce,2059,4
Property dispute,Fraud,2061,10
Fraud,riots,2063,5
riots,claims of negligence,2065,9
marriage affairs,dowry demands,2067,15
Divorce,robbery,2069,4
claims of negligence,unfair dismissal,2071,3
appeal against HR,discrimination,2073,14
Workplace harassment,appeal against HR,2075,10
Murder,Workplace harassment,2077,6
robbery,Murder,2079,6
dowry demands,theft,2081,3
robbery,cybercrime,2083,8
unfair dismissal,sedition,2085,12
theft,Property dispute,2087,6
cybercrime,marriage affairs,2089,4
sedition,Divorce,2091,9
Property dispute,Fraud,2093,7
Fraud,riots,2095,10
riots,claims of negligence,2097,3
marriage affairs,dowry demands,2099,14
Divorce,robbery,2101,3
claims of negligence,unfair dismissal,2103,13
appeal against HR,discrimination,2105,15
Workplace harassment,appeal against HR,2107,9
Murder,Workplace harassment,2109,9
robbery,Murder,2111,15
dowry demands,theft,2113,3
robbery,cybercrime,2115,6
unfair dismissal,sedition,2117,6
theft,Property dispute,2119,6
cybercrime,marriage affairs,2121,8
sedition,Divorce,2123,11
Property dispute,Fraud,2125,15
Fraud,riots,2127,11
riots,claims of negligence,2129,6
marriage affairs,dowry demands,2131,12
Divorce,robbery,2133,15
claims of negligence,unfair dismissal,2135,12
appeal against HR,discrimination,2137,5
Workplace harassment,appeal against HR,2139,3
Murder,Workplace harassment,2141,15
robbery,Murder,2143,14
dowry demands,theft,2145,8
robbery,cybercrime,2147,7
unfair dismissal,sedition,2149,11
theft,Property dispute,2151,7
cybercrime,marriage affairs,2153,15
sedition,Divorce,2155,3
Property dispute,Fraud,2157,15
Fraud,riots,2159,11
riots,claims of negligence,2161,13
marriage affairs,dowry demands,2163,14
Divorce,robbery,2165,14
claims of negligence,unfair dismissal,2167,15
appeal against HR,discrimination,2169,6
Workplace harassment,appeal against HR,2171,13
Murder,Workplace harassment,2173,7
robbery,Murder,2175,13
dowry demands,theft,2177,14
robbery,cybercrime,2179,14
unfair dismissal,sedition,2181,8
theft,Property dispute,2183,7
cybercrime,marriage affairs,2185,7
sedition,Divorce,2187,11
Property dispute,Fraud,2189,13
Fraud,riots,2191,13
riots,claims of negligence,2193,4
marriage affairs,dowry demands,2195,4
Divorce,robbery,2197,11
claims of negligence,unfair dismissal,2199,6
appeal against HR,discrimination,2201,9
Workplace harassment,appeal against HR,2203,10
Murder,Workplace harassment,2205,12
robbery,Murder,2207,5
dowry demands,theft,2209,7
robbery,cybercrime,2211,13
unfair dismissal,sedition,2213,10
theft,Property dispute,2215,6
cybercrime,marriage affairs,2217,3
sedition,Divorce,2219,3
Property dispute,Fraud,2221,10
Fraud,riots,2223,10
riots,claims of negligence,2225,10
marriage affairs,dowry demands,2227,13
Divorce,robbery,2229,7
claims of negligence,unfair dismissal,2231,3
appeal against HR,discrimination,2233,5
Workplace harassment,appeal against HR,2235,6
Murder,Workplace harassment,2237,3
robbery,Murder,2239,6
dowry demands,theft,2241,14
robbery,cybercrime,2243,13
unfair dismissal,sedition,2245,14
theft,Property dispute,2247,3
cybercrime,marriage affairs,2249,6
sedition,Divorce,2251,4
Property dispute,Fraud,2253,13
Fraud,riots,2255,5
riots,claims of negligence,2257,9
marriage affairs,dowry demands,2259,9
Divorce,robbery,2261,15
claims of negligence,unfair dismissal,2263,15
appeal against HR,discrimination,2265,3
Workplace harassment,appeal against HR,2267,8
Murder,Workplace harassment,2269,10
robbery,Murder,2271,6
dowry demands,theft,2273,11
robbery,cybercrime,2275,9
unfair dismissal,sedition,2277,11
theft,Property dispute,2279,12
cybercrime,marriage affairs,2281,4
sedition,Divorce,2283,15
Property dispute,Fraud,2285,5
Fraud,riots,2287,11
riots,claims of negligence,2289,5
marriage affairs,dowry demands,2291,5
Divorce,robbery,2293,3
claims of negligence,unfair dismissal,2295,14
appeal against HR,discrimination,2297,4
Workplace harassment,appeal against HR,2299,11
Murder,Workplace harassment,2301,4
robbery,Murder,2303,10
dowry demands,theft,2305,4
robbery,cybercrime,2307,9
unfair dismissal,sedition,2309,12
theft,Property dispute,2311,9
cybercrime,marriage affairs,2313,4
sedition,Divorce,2315,15
Property dispute,Fraud,2317,8
Fraud,riots,2319,6
riots,claims of negligence,2321,3
marriage affairs,dowry demands,2323,6
Divorce,robbery,2325,11
claims of negligence,unfair dismissal,2327,14
appeal against HR,discrimination,2329,4
Workplace harassment,appeal against HR,2331,12
Murder,Workplace harassment,2333,6
robbery,Murder,2335,11
dowry demands,theft,2337,7
robbery,cybercrime,2339,15
unfair dismissal,sedition,2341,14
theft,Property dispute,2343,15
cybercrime,marriage affairs,2345,9
sedition,Divorce,2347,3
Property dispute,Fraud,2349,8
Fraud,riots,2351,14
riots,claims of negligence,2353,6
marriage affairs,dowry demands,2355,11
Divorce,robbery,2357,14
claims of negligence,unfair dismissal,2359,11
appeal against HR,discrimination,2361,12
Workplace harassment,appeal against HR,2363,6
Murder,Workplace harassment,2365,3
robbery,Murder,2367,8
dowry demands,theft,2369,13
robbery,cybercrime,2371,15
unfair dismissal,sedition,2373,12
theft,Property dispute,2375,3
cybercrime,marriage affairs,2377,3
sedition,Divorce,2379,6
Property dispute,Fraud,2381,6
Fraud,riots,2383,8
riots,claims of negligence,2385,12
marriage affairs,dowry demands,2387,15
Divorce,robbery,2389,4
claims of negligence,unfair dismissal,2391,4
appeal against HR,discrimination,2393,15
Workplace harassment,appeal against HR,2395,15
Murder,Workplace harassment,2397,11
robbery,Murder,2399,15
dowry demands,theft,2401,8
robbery,cybercrime,2403,15
unfair dismissal,sedition,2405,10
theft,Property dispute,2407,5
cybercrime,marriage affairs,2409,4
sedition,Divorce,2411,4
Property dispute,Fraud,2413,13
Fraud,riots,2415,4
riots,claims of negligence,2417,9
marriage affairs,dowry demands,2419,15
Divorce,robbery,2421,3
claims of negligence,unfair dismissal,2423,3
appeal against HR,discrimination,2425,15
Workplace harassment,appeal against HR,2427,5
Murder,Workplace harassment,2429,6
robbery,Murder,2431,7
dowry demands,theft,2433,11
robbery,cybercrime,2435,15
unfair dismissal,sedition,2437,9
theft,Property dispute,2439,15
cybercrime,marriage affairs,2441,6
sedition,Divorce,2443,3
Property dispute,Fraud,2445,9
Fraud,riots,2447,13
riots,claims of negligence,2449,9
marriage affairs,dowry demands,2451,11
Divorce,robbery,2453,4
claims of negligence,unfair dismissal,2455,7
appeal against HR,discrimination,2457,9
Workplace harassment,appeal against HR,2459,12
Murder,Workplace harassment,2461,5
robbery,Murder,2463,10
dowry demands,theft,2465,11
robbery,cybercrime,2467,9
unfair dismissal,sedition,2469,7
theft,Property dispute,2471,3
cybercrime,marriage affairs,2473,15
sedition,Divorce,2475,9
Property dispute,Fraud,2477,15
Fraud,riots,2479,15
riots,claims of negligence,2481,12
marriage affairs,dowry demands,2483,6
Divorce,robbery,2485,7
claims of negligence,unfair dismissal,2487,7
appeal against HR,discrimination,2489,12
Workplace harassment,appeal against HR,2491,3
Murder,Workplace harassment,2493,10
robbery,Murder,2495,14
dowry demands,theft,2497,6
robbery,cybercrime,2499,14
unfair dismissal,sedition,2501,10
theft,Property dispute,2503,9
cybercrime,marriage affairs,2505,9
sedition,Divorce,2507,8
Property dispute,Fraud,2509,15
Fraud,riots,2511,4
riots,claims of negligence,2513,4
marriage affairs,dowry demands,2515,14
Divorce,robbery,2517,9
claims of negligence,unfair dismissal,2519,4
appeal against HR,discrimination,2521,10
Workplace harassment,appeal against HR,2523,8
Murder,Workplace harassment,2525,8
robbery,Murder,2527,14
dowry demands,theft,2529,10
robbery,cybercrime,2531,3
unfair dismissal,sedition,2533,6
theft,Property dispute,2535,3
cybercrime,marriage affairs,2537,10
sedition,Divorce,2539,10
Property dispute,Fraud,2541,12
Fraud,riots,2543,6
riots,claims of negligence,2545,5
marriage affairs,dowry demands,2547,15
Divorce,robbery,2549,7
claims of negligence,unfair dismissal,2551,3
appeal against HR,discrimination,2553,7
Workplace harassment,appeal against HR,2555,12
Murder,Workplace harassment,2557,9
robbery,Murder,2559,7
dowry demands,theft,2561,10
robbery,cybercrime,2563,5
unfair dismissal,sedition,2565,12
theft,Property dispute,2567,12
cybercrime,marriage affairs,2569,6
sedition,Divorce,2571,5
Property dispute,Fraud,2573,3
Fraud,riots,2575,12
riots,claims of negligence,2577,13
marriage affairs,dowry demands,2579,6
Divorce,robbery,2581,4
claims of negligence,unfair dismissal,2583,3
appeal against HR,discrimination,2585,12
Workplace harassment,appeal against HR,2587,8
Murder,Workplace harassment,2589,9
robbery,Murder,2591,9
dowry demands,theft,2593,7
robbery,cybercrime,2595,8
unfair dismissal,sedition,2597,6
theft,Property dispute,2599,15
cybercrime,marriage affairs,2601,14
sedition,Divorce,2603,7
Property dispute,Fraud,2605,12
Fraud,riots,2607,7
riots,claims of negligence,2609,15
marriage affairs,dowry demands,2611,8
Divorce,robbery,2613,9
claims of negligence,unfair dismissal,2615,13
appeal against HR,discrimination,2617,14
Workplace harassment,appeal against HR,2619,3
Murder,Workplace harassment,2621,3
robbery,Murder,2623,10
dowry demands,theft,2625,9
robbery,cybercrime,2627,6
unfair dismissal,sedition,2629,5
theft,Property dispute,2631,3
cybercrime,marriage affairs,2633,9
sedition,Divorce,2635,10
Property dispute,Fraud,2637,3
Fraud,riots,2639,11
riots,claims of negligence,2641,4
marriage affairs,dowry demands,2643,3
Divorce,robbery,2645,7
claims of negligence,unfair dismissal,2647,9
appeal against HR,discrimination,2649,6
Workplace harassment,appeal against HR,2651,8
Murder,Workplace harassment,2653,8
robbery,Murder,2655,15
dowry demands,theft,2657,13
robbery,cybercrime,2659,15
unfair dismissal,sedition,2661,10
theft,Property dispute,2663,14
cybercrime,marriage affairs,2665,10
sedition,Divorce,2667,5
Property dispute,Fraud,2669,7
Fraud,riots,2671,7
riots,claims of negligence,2673,8
marriage affairs,dowry demands,2675,12
Divorce,robbery,2677,13
claims of negligence,unfair dismissal,2679,4
appeal against HR,discrimination,2681,6
Workplace harassment,appeal against HR,2683,13
Murder,Workplace harassment,2685,13
robbery,Murder,2687,10
dowry demands,theft,2689,4
robbery,cybercrime,2691,14
unfair dismissal,sedition,2693,11
theft,Property dispute,2695,10
cybercrime,marriage affairs,2697,15
sedition,Divorce,2699,14
Property dispute,Fraud,2701,12
Fraud,riots,2703,12
riots,claims of negligence,2705,3
marriage affairs,dowry demands,2707,14
Divorce,robbery,2709,5
claims of negligence,unfair dismissal,2711,8
appeal against HR,discrimination,2713,9
Workplace harassment,appeal against HR,2715,9
Murder,Workplace harassment,2717,7
robbery,Murder,2719,6
dowry demands,theft,2721,6
robbery,cybercrime,2723,10
unfair dismissal,sedition,2725,9
theft,Property dispute,2727,3
cybercrime,marriage affairs,2729,11
sedition,Divorce,2731,11
Property dispute,Fraud,2733,9
Fraud,riots,2735,5
riots,claims of negligence,2737,7
marriage affairs,dowry demands,2739,4
Divorce,robbery,2741,12
claims of negligence,unfair dismissal,2743,9
appeal against HR,discrimination,2745,4
Workplace harassment,appeal against HR,2747,3
Murder,Workplace harassment,2749,11
robbery,Murder,2751,7
dowry demands,theft,2753,8
robbery,cybercrime,2755,7
unfair dismissal,sedition,2757,4
theft,Property dispute,2759,14
cybercrime,marriage affairs,2761,7
sedition,Divorce,2763,5
Property dispute,Fraud,2765,12
Fraud,riots,2767,3
riots,claims of negligence,2769,7
marriage affairs,dowry demands,2771,7
Divorce,robbery,2773,11
claims of negligence,unfair dismissal,2775,4
appeal against HR,discrimination,2777,3
Workplace harassment,appeal against HR,2779,8
Murder,Workplace harassment,2781,3
robbery,Murder,2783,4
dowry demands,theft,2785,14
robbery,cybercrime,2787,3
unfair dismissal,sedition,2789,12
theft,Property dispute,2791,11
cybercrime,marriage affairs,2793,12
sedition,Divorce,2795,6
Property dispute,Fraud,2797,9
Fraud,riots,2799,7
riots,claims of negligence,2801,15
marriage affairs,dowry demands,2803,9
Divorce,robbery,2805,7
claims of negligence,unfair dismissal,2807,11
appeal against HR,discrimination,2809,11
Workplace harassment,appeal against HR,2811,8
Murder,Workplace harassment,2813,10
robbery,Murder,2815,13
dowry demands,theft,2817,4
robbery,cybercrime,2819,6
unfair dismissal,sedition,2821,11
theft,Property dispute,2823,5
cybercrime,marriage affairs,2825,9
sedition,Divorce,2827,13
Property dispute,Fraud,2829,5
Fraud,riots,2831,11
riots,claims of negligence,2833,8
marriage affairs,dowry demands,2835,10
Divorce,robbery,2837,7
claims of negligence,unfair dismissal,2839,13
appeal against HR,discrimination,2841,7
Workplace harassment,appeal against HR,2843,10
Murder,Workplace harassment,2845,5
robbery,Murder,2847,5
dowry demands,theft,2849,8
robbery,cybercrime,2851,14
unfair dismissal,sedition,2853,5
theft,Property dispute,2855,9
cybercrime,marriage affairs,2857,7
sedition,Divorce,2859,4
Property dispute,Fraud,2861,15
Fraud,riots,2863,10
riots,claims of negligence,2865,12
marriage affairs,dowry demands,2867,15
Divorce,robbery,2869,3
claims of negligence,unfair dismissal,2871,5
appeal against HR,discrimination,2873,14
